# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
23141.2000 M295 139 2 761.6000 s10 sink5 3587 N s10->s12->sink6
23141.3000 M298 162 1 551.9000 s12 sink9 3590 N s12->sink6
23141.4000 M301 160 1 367.4000 s12 sink9 3593 N s12->sink6
23228.2000 M300 189 3 538.6000 s18 sink6 3591 N s18->s14->s12->sink6
23228.3000 M292 190 3 1114.3000 s18 sink4 3581 N s18->s14->s12->sink6
23228.4000 M303 184 2 223.3000 s14 sink1 3596 N s14->s12->sink6
23604.8000 M304 161 1 553.3000 s15 sink2 3590 N s15->sink2
23604.9000 M309 115 1 79.5000 s15 sink0 3598 N s15->sink2
23811.2000 M306 179 2 649.8000 s18 sink4 3589 N s18->s19->sink5
23811.3000 M307 189 1 376.5000 s19 sink0 3593 N s19->sink5
23811.4000 M299 168 3 1194.6000 s17 sink1 3580 N s17->s16->s19->sink5
23811.5000 M302 176 2 883.7000 s16 sink1 3585 N s16->s19->sink5
23811.6000 M308 177 2 320.7000 s16 sink4 3594 N s16->s19->sink5
24876.6000 M313 139 2 941.2000 s10 sink6 3584 N s10->s15->sink8
24876.7000 M316 134 1 711.7000 s15 sink4 3588 N s15->sink8
24876.8000 M310 149 4 1349.6000 s11 sink4 3577 N s11->s17->s10->s15->sink8
24876.9000 M305 107 3 1816.2000 s17 sink0 3569 N s17->s10->s15->sink8
24877.0000 M311 130 2 1191.1000 s10 sink2 3580 N s10->s15->sink8
24877.1000 M322 120 1 279.4000 s15 sink6 3595 N s15->sink8
24877.2000 M319 185 2 556.4000 s10 sink9 3590 N s10->s15->sink8
25266.0000 M318 139 4 1008.3000 s19 sink9 3583 N s19->s12->s17->s18->sink0
25266.1000 M321 114 3 672.4000 s13 sink3 3588 N s13->s17->s18->sink0
25266.2000 M328 158 2 188.4000 s16 sink2 3596 N s16->s18->sink0
25266.3000 M317 114 2 1047.0000 s13 sink6 3582 N s13->s18->sink0
25266.4000 M315 157 2 1135.8000 s12 sink2 3581 N s12->s18->sink0
25266.5000 M325 152 2 476.9000 s17 sink3 3592 N s17->s18->sink0
25266.6000 M314 113 3 1298.1000 s14 sink6 3578 N s14->s13->s18->sink0
25266.7000 M312 174 3 1367.1000 s11 sink6 3577 N s11->s16->s18->sink0
25266.8000 M320 155 3 870.3000 s12 sink6 3585 N s12->s17->s18->sink0
25266.9000 M326 192 1 418.5000 s18 sink1 3593 N s18->sink0
25691.4000 M331 157 1 113.7000 s16 sink8 3598 N s16->sink7
25933.3000 M334 198 1 198.7000 s15 sink8 3596 N s15->sink1
26293.3000 M337 141 2 249.8000 s19 sink8 3595 N s19->s12->sink6
26293.4000 M333 116 2 621.7000 s19 sink7 3589 N s19->s12->sink6
26293.5000 M341 143 2 88.9000 s19 sink8 3598 N s19->s12->sink6
26293.6000 M332 111 1 635.3000 s12 sink8 3589 N s12->sink6
26293.7000 M327 167 1 1376.5000 s12 sink4 3577 N s12->sink6
26293.8000 M340 178 1 90.5000 s12 sink1 3598 N s12->sink6
26293.9000 M323 165 2 1559.9000 s19 sink9 3574 N s19->s12->sink6
26753.5000 M339 178 1 650.8000 s10 sink7 3589 N s10->sink2
26753.6000 M335 107 2 887.1000 s13 sink2 3585 N s13->s10->sink2
26753.7000 M329 117 1 1404.2000 s10 sink3 3576 N s10->sink2
26753.8000 M324 143 2 1989.5000 s13 sink4 3566 N s13->s10->sink2
26753.9000 M344 186 1 258.1000 s10 sink0 3595 N s10->sink2
27255.0000 M330 197 3 1707.7000 s11 sink4 3571 N s11->s14->s13->sink1
27255.1000 M338 125 3 1197.7000 s11 sink6 3580 N s11->s14->s13->sink1
27255.2000 M345 159 2 613.3000 s15 sink1 3589 N s15->s13->sink1
27467.8000 M346 128 3 750.1000 s17 sink3 3587 N s17->s16->s18->sink8
27467.9000 M336 116 1 1584.3000 s18 sink9 3573 N s18->sink8
27468.0000 M342 155 1 1242.9000 s18 sink7 3579 N s18->sink8
27468.1000 M349 174 1 518.8000 s18 sink8 3591 N s18->sink8
27468.2000 M352 109 1 271.1000 s18 sink7 3595 N s18->sink8
27468.3000 M343 133 3 1045.5000 s17 sink7 3582 N s17->s16->s18->sink8
28019.0000 M361 190 1 189.5000 s17 sink3 3596 N s17->sink8
28019.1000 M351 160 1 988.6000 s17 sink1 3583 N s17->sink8
28019.2000 M353 125 1 778.4000 s17 sink0 3587 N s17->sink8
28019.3000 M354 122 2 673.5000 s11 sink0 3588 N s11->s17->sink8
28451.0000 M355 176 1 1073.1000 s19 sink4 3582 N s19->sink5
